focalLength,weight,gonadalWeight,maturityStage,species,Sex
50.4,2.26,45.6,III,Kawakawa,F
56.2,3.01,97.92,IV,Kawakawa,F
55.9,3.14,12.99,II,Kawakawa,M
56.2,2.47,24.1,V,Kawakawa,F
49.3,2.2,56.57,IV,Kawakawa,M
53.6,2.42,32.82,III,Kawakawa,F
55.9,2.56,80.44,IV,Kawakawa,M
56.1,2.98,27.56,II,Kawakawa,F
56,2.95,34.38,III,Kawakawa,M
54.5,2.68,4.44,I,Kawakawa,F
56,2.84,40.47,III,Kawakawa,M
55.5,2.96,22.47,III,Kawakawa,M
56.1,2.84,7.5,II,Kawakawa,M
51.6,2.45,11.55,III,Kawakawa,F
56.8,3.23,65.11,IV,Kawakawa,F
55,2.5,24.82,II,Kawakawa,M
53,2.65,103.41,IV,Kawakawa,F
57.7,3.16,103.75,IV,Kawakawa,F
56,3.17,27.14,V,Kawakawa,F
53.8,2.73,63.08,II,Kawakawa,F
55,2.9,41.63,III,Kawakawa,F
55,2.77,70.71,IV,Kawakawa,F
54.8,2.83,22.66,II,Kawakawa,F
56.1,2.878,11.38,II,Kawakawa,M
59.4,3.8,5.08,II,Kawakawa,M
59.5,2.91,4.71,II,Kawakawa,M
59.5,3.05,4.47,II,Kawakawa,M
62.5,3.9,2.02,I,Kawakawa,M
60.7,3.54,4.79,I,Kawakawa,F
57.1,3.2,17.02,V,Kawakawa,F
59.5,3.1,2.7,II,Kawakawa,M
61.5,3.19,19.05,V,Kawakawa,F
62.5,3.4,2.67,II,Kawakawa,M
61.6,2.55,1.8,I,Kawakawa,M
58,2.9,5.91,I,Kawakawa,M
55.4,2.53,80.44,IV,Kawakawa,M
50.1,2.48,27.56,II,Kawakawa,F
59,3.065,22.6,I,Kawakawa,F
61,3.49,56.9,III,Kawakawa,F
58,3.015,23.5,II,Kawakawa,F
58,2.94,17.6,II,Kawakawa,F
42,1.225,39.3,III,Kawakawa,F
43,1.285,0,II,Kawakawa,M
61,3.38,0,II,Kawakawa,M
64,3.43,49.1,III,Kawakawa,F
57,3.17,14,II,Kawakawa,F
58,3.35,74.1,III,Kawakawa,F
62,3.775,21.9,II,Kawakawa,F
59,3.06,17.5,II,Kawakawa,F
59,3.235,20.3,II,Kawakawa,F
59,2.95,23.8,II,Kawakawa,F
65,4.27,0,III,Kawakawa,M
59,2.95,23.8,II,Kawakawa,F
40,1.349,6.94,II,Kawakawa,F
47,1.38,2.08,II,Kawakawa,M
45,1.338,5.46,II,Kawakawa,F
45,1.269,0.54,II,Kawakawa,M
47,1.448,0.54,II,Kawakawa,M
45,1.248,1.13,I,Kawakawa,M
43,1.217,1.4,I,Kawakawa,M
46,1.217,1.51,II,Kawakawa,M
43,1.147,2,I,Kawakawa,F
44,1.248,3.75,II,Kawakawa,F
45.5,1.229,2.39,II,Kawakawa,F
46,1.289,5.12,II,Kawakawa,F
45,1.305,2.1,II,Kawakawa,M
45.5,1.3,3.54,II,Kawakawa,F
44,1.339,3.34,II,Kawakawa,F
44,1.218,5.07,II,Kawakawa,F
45,1.22,5.08,II,Kawakawa,F
43.5,1.178,2.62,II,Kawakawa,F
45,1.128,0.66,I,Kawakawa,M
45,1.21,3.45,II,Kawakawa,F
44,1.24,0.83,I,Kawakawa,M
45,1.32,0.31,I,Kawakawa,F
46,1.46,7.88,II,Kawakawa,F
44,1.315,3.46,II,Kawakawa,F
45,1.38,3.09,II,Kawakawa,F
44,1.345,3.7,II,Kawakawa,M
45.5,1.345,2.07,II,Kawakawa,M
46,1.23,1.08,I,Kawakawa,M
45.5,1.315,22.06,III,Kawakawa,F
45,1.24,6.64,II,Kawakawa,F
92,13.5,255,IV,Kawakawa,F
94.5,13.5,49,IV,Kawakawa,F
76,6.5,0,V,Kawakawa,M
104,19.5,359.24,IV,Kawakawa,M
95,15.5,359.24,IV,Kawakawa,M
94,13.85,236.97,IV,Kawakawa,M
78,11,190.76,IV,Kawakawa,F
103,17,152,IV,Kawakawa,M
96,14,361.85,IV,Kawakawa,F
96,15,384.89,IV,Kawakawa,F
101.5,17.5,363.33,IV,Kawakawa,F
87,11.5,168.86,IV,Kawakawa,M
95,13.5,307.27,III,Kawakawa,F
92,14,238.94,IV,Kawakawa,M
100,17,105.23,IV,Kawakawa,M
105.5,18,178.49,IV,Kawakawa,M
53,2,0,IV,Kawakawa,M
52,1.9,0,IV,Kawakawa,M
54,1.8,0,IV,Kawakawa,M
48.8,1.5,0,IV,Kawakawa,M
55,1.4,10.86,V,Kawakawa,F
47,1.3,0,II,Kawakawa,M
47.4,1.4,147.04,IV,Kawakawa,F
61,2.7,0,IV,Kawakawa,M
55,1.8,50.4,IV,Kawakawa,F
61,2.6,105.65,IV,Kawakawa,F
46,1.2,121.35,IV,Kawakawa,F
50,1.3,0,IV,Kawakawa,M
53,1.4,48.72,IV,Kawakawa,F
61,2.6,0,IV,Kawakawa,M
59,2.2,0,IV,Kawakawa,M
63.5,2.8,0,IV,Kawakawa,M
53,1.5,0,IV,Kawakawa,M
59,2.7,0,IV,Kawakawa,M
53,1.6,207.3,IV,Kawakawa,M
61,3,247,IV,Kawakawa,F
62,2.6,77.23,IV,Kawakawa,F
61,2.6,0,IV,Kawakawa,M
59,2.7,176.05,IV,Kawakawa,F
62,3,0,IV,Kawakawa,M
62,2.8,0,IV,Kawakawa,M
57,2,0,IV,Kawakawa,M
60,2.4,134.06,IV,Kawakawa,F
53,1.4,0,IV,Kawakawa,M
44,1.4,0,II,Kawakawa,M
48,1.2,0,IV,Kawakawa,M
61,3,,IV,Kawakawa,M
59.1,2.8,0,IV,Kawakawa,M
57.1,2.2,23.7,IV,Kawakawa,F
65.2,2.8,0,V,Kawakawa,F
61.6,3,0,IV,Kawakawa,M
57.1,2.2,39.14,IV,Kawakawa,F
64.1,3.2,0,IV,Kawakawa,M
59.2,3,112.58,IV,Kawakawa,F
59.1,2.8,114.34,IV,Kawakawa,F
57.9,2,0,IV,Kawakawa,M
56.5,1.6,0,IV,Kawakawa,M
61.5,3.2,47.14,IV,Kawakawa,F
60.5,1.6,0,IV,Kawakawa,M
56.1,2.2,0,V,Kawakawa,F
59.1,2.8,0,IV,Kawakawa,M
57.1,2.2,23.7,IV,Kawakawa,F
65.2,2.8,0,V,Kawakawa,F
61.6,3,0,IV,Kawakawa,M
57.1,2.2,39.14,IV,Kawakawa,F
64.1,3.2,0,IV,Kawakawa,M
59.2,3,112.58,IV,Kawakawa,F
59.1,2.8,114.34,IV,Kawakawa,F
57.9,2,0,IV,Kawakawa,M
56.5,1.6,0,IV,Kawakawa,M
61.5,3.2,47.14,IV,Kawakawa,F
60.5,1.6,0,IV,Kawakawa,M
56.1,2.2,0,V,Kawakawa,F
54.2,1.6,50.32,V,Kawakawa,F
57.1,1.7,59.78,IV,Kawakawa,F
43.7,1,0,II,Kawakawa,M
54.2,1.6,85.85,IV,Kawakawa,F
56.4,2.1,46.24,IV,Kawakawa,F
55.5,1.7,54.2,IV,Kawakawa,F
58.5,2.4,0,IV,Kawakawa,M
62.4,3.1,0,IV,Kawakawa,M
50.2,1.2,100.08,IV,Kawakawa,F
56.9,1.7,58.36,IV,Kawakawa,F
58.7,1.7,0,IV,Kawakawa,M
55.5,2.3,0,II,Kawakawa,M
54,1.7,24.39,IV,Kawakawa,F
56.8,2,40.78,IV,Kawakawa,F
61,3.4,0,IV,Kawakawa,M
60.1,2.6,0,IV,Kawakawa,M
56.2,2,57.11,IV,Kawakawa,F
53,1.6,0,IV,Kawakawa,M
42.2,1.26,0,I,Kawakawa,M
44,1.26,2.61,I,Kawakawa,M
44,1.285,0,I,Kawakawa,M
42,1.26,0,I,Kawakawa,F
43.4,1.2,0,I,Kawakawa,F
43.8,1.145,3.4,II,Kawakawa,F
45,1.06,3.01,I,Kawakawa,M
44,1.2,6.81,I,Kawakawa,F
43.2,1.215,0,I,Kawakawa,F
44.2,1.215,0,V,Kawakawa,F
43.4,1.215,3.65,II,Kawakawa,F
43,1.125,3.5,II,Kawakawa,F
43,1.11,0,II,Kawakawa,F
44,1.16,6.17,I,Kawakawa,F
43.6,1.02,0,V,Kawakawa,F
57.5,1.8,52.21,IV,Kawakawa,F
53.5,1.8,54.66,IV,Kawakawa,F
65.2,3.8,0,IV,Kawakawa,M
54,3.6,85.85,IV,Kawakawa,F
63.3,4,0,IV,Kawakawa,M
61,3.1,0,III,Kawakawa,M
63,4,85.92,IV,Kawakawa,F
63,3.6,102.32,IV,Kawakawa,F
56,1.5,0,III,Kawakawa,M
58.5,2.4,0,III,Kawakawa,M
52,1.4,0,III,Kawakawa,M
59,2.7,36.65,V,Kawakawa,F
70,4.4,0,IV,Kawakawa,M
59.3,3,0,III,Kawakawa,M
67,4.8,0,IV,Kawakawa,M
59.5,2.8,77.61,IV,Kawakawa,F
61.3,3,0,I,Kawakawa,M
57.4,2.6,77.52,IV,Kawakawa,F
60.3,2.8,0,II,Kawakawa,M
57,2.5,80.75,IV,Kawakawa,F
58.3,3,0,IV,Kawakawa,M
60.4,2.7,0,I,Kawakawa,F
57.2,2.1,51.92,IV,Kawakawa,F
57.2,2.4,0,IV,Kawakawa,M
57.5,2.5,58.52,IV,Kawakawa,F
59,2.6,0,IV,Kawakawa,M
57,2.4,0,V,Kawakawa,F
60,3.9,94.97,IV,Kawakawa,F
59.4,2.3,84.87,IV,Kawakawa,F
57.2,2.5,23.04,V,Kawakawa,F
60.53,3,95.76,II,Kawakawa,M
88.53,3,179.7,III,Kawakawa,M
63.54,4,240.66,IV,Kawakawa,F
57.53,5,72.77,II,Kawakawa,M
61,3.5,22.65,IV,Kawakawa,M
56,2.6,69,IV,Kawakawa,F
61,3.18,100,IV,Kawakawa,F
68,4.94,,I,Kawakawa,M
61,3.14,104.2,IV,Kawakawa,F
58,3,72.35,III,Kawakawa,F
57,2.95,193,IV,Kawakawa,F
66,3.41,116.99,II,Kawakawa,M
61,3.33,234,IV,Kawakawa,M
61,3,87.96,IV,Kawakawa,F
66,4.62,98.6,II,Kawakawa,M
60,3.35,236.28,IV,Kawakawa,F
63,3.25,0,I,Kawakawa,M
66,3.83,157.68,IV,Kawakawa,M
63,3.78,78.95,II,Kawakawa,M
39.4,0.68,0,I,Kawakawa,M
44,0.94,0,I,Kawakawa,M
41,0.78,0,I,Kawakawa,M
40,0.79,0,I,Kawakawa,M
36.6,0.76,0,I,Kawakawa,M
43,1.13,0,I,Kawakawa,M
40,0.79,0,I,Kawakawa,M
39,0.99,1.56,I,Kawakawa,F
39,0.76,0,I,Kawakawa,M
42.2,1.12,1.79,I,Kawakawa,F
41,0.82,0,I,Kawakawa,M
43,1.17,1.7,I,Kawakawa,F
44.2,1.32,3.86,I,Kawakawa,F
39,0.78,0,I,Kawakawa,M
39.3,0.95,0,I,Kawakawa,M
40,0.61,0,I,Kawakawa,M
43,1.16,0,I,Kawakawa,M
42,1.08,0,I,Kawakawa,M
423,0.91,0,I,Kawakawa,M
43,1.12,3.02,I,Kawakawa,F
39.8,0.73,0,I,Kawakawa,M
41.5,1.04,0,I,Kawakawa,M
42,1.01,0,I,Kawakawa,M
41.6,0.69,0,I,Kawakawa,M
40,0.87,0,I,Kawakawa,M
41.5,0.83,3.1,I,Kawakawa,F
40.5,0.72,0,I,Kawakawa,F
40.5,8.7,0,I,Kawakawa,M
41,0.86,1.91,I,Kawakawa,F
41,0.82,0,I,Kawakawa,M
38,0.91,,II,Kawakawa,M
40,1.125,,II,Kawakawa,M
39,9.55,,II,Kawakawa,M
38,0.965,,II,Kawakawa,M
40,1.045,38.3,III,Kawakawa,F
44,1.4,,II,Kawakawa,M
43,1.165,,II,Kawakawa,M
41,1.02,,II,Kawakawa,M
40,1.085,,II,Kawakawa,M
37,0.91,0,II,Kawakawa,M
39,0.96,62,IV,Kawakawa,F
42,0.265,88.3,IV,Kawakawa,F
62,2.1,75.7,III,Kawakawa,F
58,2.715,,II,Kawakawa,M
68,5.125,,II,Kawakawa,M
48,1.685,,II,Kawakawa,M
41,1.12,,II,Kawakawa,M
45,1.6,147.1,IV,Kawakawa,F
46,1.63,160.3,IV,Kawakawa,F
43,1.235,,II,Kawakawa,M
63,4.285,,II,Kawakawa,M
59,3.265,,II,Kawakawa,M
47,1.735,81.6,IV,Kawakawa,F
47,1.81,,II,Kawakawa,M
50,2.135,,II,Kawakawa,M
56.5,2.6,72.77,IV,Kawakawa,F
51.5,1.8,38.29,IV,Kawakawa,F
50,1.8,89.99,IV,Kawakawa,F
49,1.8,0,V,Kawakawa,F
47,1.6,0,V,Kawakawa,F
48,1.7,0,V,Kawakawa,F
50,1.7,0,V,Kawakawa,F
50,1.6,0,V,Kawakawa,F
49.7,1.6,0,V,Kawakawa,F
50.5,1.8,0,IV,Kawakawa,M
49,1.6,0,IV,Kawakawa,M
49.5,1.6,0,IV,Kawakawa,M
49.5,1.7,0,V,Kawakawa,F
47,1.6,35.66,IV,Kawakawa,F
60.5,4,195.44,IV,Kawakawa,M
61.4,4,91.35,IV,Kawakawa,F
58.2,21.98,80,IV,Kawakawa,F
63,3.795,108.52,IV,Kawakawa,F
64,4.04,226.7,IV,Kawakawa,F
62.5,3.75,135.6,IV,Kawakawa,M
62.7,3.73,136.47,IV,Kawakawa,M
65.7,3.99,219.08,IV,Kawakawa,M
68,4.81,241.53,IV,Kawakawa,M
58,3.6,188.13,IV,Kawakawa,F
58.2,3.04,161.01,IV,Kawakawa,F
59,3.035,19.12,V,Kawakawa,F
58.4,2.915,90.5,II,Kawakawa,M
63,3.69,135.02,II,Kawakawa,M
