,focalLength,weight,gonadalWeight,maturityStage,species,Sex
195,100.0,16.0,299.52,3,0,0
196,94.0,13.5,412.76,3,0,0
197,98.0,14.5,426.38,3,0,0
198,96.0,13.5,294.99,3,0,1
199,96.0,13.8,163.56,3,0,1
200,98.0,15.5,352.16,3,0,1
201,93.0,12.5,268.53,3,0,0
202,98.0,14.5,403.17,3,0,0
203,88.0,10.2,55.0,1,0,0
204,79.5,7.6,0.0,0,0,1
205,80.5,8.5,0.0,1,0,1
206,77.0,8.9,0.0,1,0,1
207,81.0,8.0,0.0,0,0,1
208,58.5,3.4,0.0,0,0,1
209,57.5,3.1,0.0,0,0,1
210,59.5,3.6,0.0,0,0,1
211,100.0,16.0,280.7,3,0,1
212,92.0,14.75,305.0,3,0,0
213,102.0,17.9,190.0,3,0,1
214,88.0,12.0,290.0,3,0,1
215,90.0,12.0,255.0,3,0,0
216,96.0,15.0,320.0,3,0,0
217,94.0,14.0,175.0,3,0,1
218,97.0,15.0,16.6,3,0,0
219,98.0,16.5,100.1,3,0,0
220,96.0,16.0,350.0,3,0,0
221,96.0,14.0,295.0,3,0,0
222,95.0,14.0,408.0,4,0,1
223,95.0,14.0,408.0,4,0,1
224,47.1,2.0,47.01,1,0,1
225,47.0,2.0,66.4,2,0,1
226,44.8,1.9,27.92,4,0,0
227,96.0,15.0,245.0,3,0,1
228,94.0,14.0,295.0,3,0,0
229,98.0,14.0,315.0,3,0,0
230,100.0,17.5,345.31,3,0,1
231,98.0,20.0,266.6,3,0,1
232,95.0,14.0,344.25,3,0,1
233,93.0,15.0,335.14,3,0,1
234,85.0,12.5,290.81,3,0,0
235,94.0,15.0,527.78,3,0,1
236,89.0,12.5,95.0,2,0,1
237,100.0,17.0,185.0,3,0,1
238,94.0,14.0,265.0,3,0,0
239,100.0,16.0,356.82,3,0,0
240,98.0,15.7,285.0,3,0,0
241,103.0,19.0,13.4,3,0,1
242,77.5,8.8,24.96,1,0,0
243,75.6,6.6,8.36,0,0,0
244,72.5,7.4,0.0,1,0,1
245,105.0,19.8,106.51,1,0,0
246,76.5,7.0,0.0,3,0,1
247,103.5,15.5,248.26,3,0,0
248,97.0,17.7,0.0,2,0,1
249,128.0,38.0,0.0,1,0,1
250,109.0,15.8,0.0,3,0,1
251,91.0,11.9,0.0,2,0,1
252,71.0,6.2,0.0,0,0,0
253,102.0,17.6,0.0,1,0,1
254,195.0,35.0,0.0,3,0,1
255,164.0,32.0,0.0,4,0,0
256,226.0,0.45,32.0,4,0,0
257,193.0,0.5,765.0,3,0,0
258,63.0,4.09,69.63836201191265,0,0,0
259,56.0,3.16,69.63836201191265,0,0,1
260,63.0,4.24,69.63836201191265,0,0,0
261,79.0,7.945,69.63836201191265,0,0,1
262,104.5,22.0,1546.7,2,0,0
263,109.0,23.0,648.0,2,0,0
264,98.0,17.0,69.63836201191265,2,0,1
265,85.0,10.42,69.63836201191265,0,0,1
266,84.0,9.475,69.63836201191265,0,0,1
267,88.0,12.5,198.47,2,0,0
268,87.0,13.0,69.63836201191265,2,0,1
269,108.0,23.0,69.63836201191265,1,0,1
270,72.0,5.89,0.0,0,0,1
271,100.0,16.2,67.6,4,0,0
272,74.0,7.0,10.22,0,0,0
273,68.0,5.185,69.63836201191265,0,0,1
274,70.0,5.445,69.63836201191265,0,0,0
275,67.0,5.325,69.63836201191265,0,0,1
276,68.0,5.09,69.63836201191265,0,0,0
277,69.0,5.245,69.63836201191265,0,0,0
278,67.5,5.32,69.63836201191265,0,0,1
279,70.0,5.295,69.63836201191265,0,0,1
280,66.5,5.05,69.63836201191265,0,0,0
281,66.0,4.6,69.63836201191265,0,0,0
282,40.5,1.24,27.18,3,1,1
283,40.2,1.253,47.08,2,1,0
284,41.4,1.305,21.11,2,1,1
285,39.4,1.13,41.4,3,1,1
286,40.5,1.185,40.4,3,1,0
287,41.4,1.35,44.87,3,1,1
288,41.2,1.09,42.38,3,1,0
289,40.0,1.14,30.01,3,1,1
290,42.4,1.33,34.45,3,1,1
291,41.1,1.13,47.49,3,1,1
292,36.5,0.892,23.13,3,1,1
293,41.9,1.42,38.38,3,1,1
294,39.8,1.18,39.38,3,1,0
295,35.8,0.68,26.12,4,1,0
296,42.4,1.44,51.91,3,1,1
297,48.0,1.76,69.63836201191265,1,1,1
298,57.0,2.33,69.63836201191265,1,1,1
299,47.03,18.9,23.26,1,1,1
300,35.0,0.49,1.2,1,1,1
301,36.0,0.67,3.89,3,1,0
302,34.0,0.57,1.18,1,1,1
303,36.0,0.53,2.97,2,1,0
304,34.5,0.55,0.0,4,1,1
305,34.0,0.57,0.63,0,1,1
306,38.0,0.68,3.31,2,1,0
307,35.0,0.53,3.14,4,1,0
308,33.0,0.54,3.34,2,1,0
309,42.0,1.02,11.74,4,1,0
310,35.5,0.66,4.75,4,1,0
311,35.0,0.7,4.32,4,1,0
312,35.0,0.56,3.05,1,1,0
313,36.0,0.64,3.2,3,1,1
314,35.0,0.7,0.0,0,1,1
315,37.0,0.58,2.3,1,1,0
316,34.0,0.37,2.05,1,1,0
317,37.0,0.6,4.15,2,1,0
318,34.0,0.49,1.68,1,1,0
319,34.0,0.57,0.43,0,1,1
320,42.0,1.11,9.5,3,1,1
321,34.0,0.47,0.32,0,1,1
322,38.0,0.69,3.83,2,1,0
323,35.0,0.64,4.65,2,1,0
324,38.0,0.67,4.15,2,1,0
325,35.0,0.42,2.97,1,1,0
326,35.0,0.68,3.22,3,1,1
327,36.5,0.58,3.76,2,1,0
328,36.5,0.46,0.46,0,1,1
329,39.0,0.71,5.2,4,1,0
330,33.0,0.595,0.0,1,1,1
331,32.0,0.55,0.0,1,1,1
332,33.0,0.55,0.0,1,1,1
333,33.0,0.56,0.0,1,1,1
334,43.0,1.195,84.6,3,1,0
335,40.0,1.35,460.0,1,1,0
336,42.0,1.2,0.0,1,1,1
337,41.0,1.09,0.0,1,1,1
338,42.0,1.175,12.5,0,1,0
339,41.0,1.165,32.5,1,1,0
340,44.0,1.4,70.0,1,1,0
341,68.0,5.0,0.0,3,1,1
342,48.0,1.8,0.0,3,1,1
343,43.0,1.2,0.0,1,1,1
344,43.0,1.2,0.0,1,1,1
345,44.0,1.4,0.0,3,1,1
346,46.0,1.4,0.0,3,1,1
347,38.0,0.93,69.63836201191265,2,1,1
348,40.0,0.95,69.63836201191265,2,1,1
349,40.0,1.02,69.63836201191265,2,1,1
350,39.0,0.985,62.6,3,1,0
351,40.0,0.895,35.2,2,1,0
352,42.0,1.28,69.63836201191265,2,1,1
353,38.0,0.985,69.63836201191265,2,1,1
354,42.2,0.7,0.0,0,1,1
355,41.3,0.7,18.01,2,1,0
356,40.3,0.7,27.9,3,1,0
357,38.1,0.6,0.0,2,1,1
358,40.5,0.6,0.0,2,1,1
359,38.2,0.6,0.0,4,1,0
360,39.3,0.7,0.0,2,1,1
361,37.1,0.5,0.0,1,1,1
362,38.4,0.6,0.0,1,1,1
363,39.6,0.7,0.0,1,1,1
364,40.5,0.8,0.0,2,1,1
365,38.1,0.7,27.59,3,1,0
366,38.2,0.6,20.85,3,1,0
367,38.4,0.7,0.0,1,1,1
368,38.5,0.6,0.0,1,1,1
369,38.3,0.7,14.04,3,1,0
370,40.1,0.7,21.45,3,1,0
371,40.1,0.7,20.4,3,1,0
372,39.5,0.8,0.0,1,1,1
373,38.7,0.7,0.0,1,1,1
374,38.7,0.6,0.0,2,1,1
375,41.1,1.0,0.0,2,1,1
